,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_model__criterion,param_model__max_depth,param_pca,param_scale,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
127,0.823987087,0.016543627,0.626854001,0.649796044,entropy,5,,"StandardScaler(copy=True, with_mean=True, with_std=True)","{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 5, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",1,0.604570218,0.664181928,0.620402603,0.650851305,0.655592553,0.6343549,0.022070619,0.005425146,0.021323682,0.012199675
128,0.826433023,0.01265494,0.626854001,0.649796044,entropy,5,,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 5, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",1,0.604570218,0.664181928,0.620402603,0.650851305,0.655592553,0.6343549,0.037856822,0.004159134,0.021323682,0.012199675
126,0.775256952,0.009617011,0.626778327,0.649783433,entropy,5,,,"{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 5, 'scale': None}",3,0.604645884,0.664219767,0.620402603,0.650851305,0.655289844,0.634279228,0.027724033,0.00861399,0.021161347,0.012246475
44,0.598165671,0.010256926,0.626601756,0.650060896,gini,5,,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 5, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",4,0.604191889,0.664219767,0.620402603,0.651267499,0.655214167,0.634695422,0.012445039,0.00206043,0.021286217,0.012083423
43,0.595006307,0.013005654,0.626500858,0.650060896,gini,5,,"StandardScaler(copy=True, with_mean=True, with_std=True)","{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 5, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",5,0.603889225,0.664219767,0.620402603,0.651267499,0.655214167,0.634695422,0.016303436,0.002509394,0.021392653,0.012083423
42,0.564666669,0.004541,0.62639996,0.650035672,gini,5,,,"{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 5, 'scale': None}",6,0.603889225,0.664219767,0.620402603,0.651267499,0.654911458,0.63461975,0.032419173,0.001484314,0.021257275,0.012115508
21,0.366330226,0.003561099,0.618252447,0.631142649,gini,3,,,"{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 3, 'scale': None}",7,0.600105932,0.65033298,0.608899652,0.624631101,0.645754503,0.618463867,0.011554511,0.000609147,0.019774769,0.013801215
22,0.416112264,0.016240676,0.618252447,0.631142649,gini,3,,"StandardScaler(copy=True, with_mean=True, with_std=True)","{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 3, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",7,0.600105932,0.65033298,0.608899652,0.624631101,0.645754503,0.618463867,0.013526005,0.00656371,0.019774769,0.013801215
23,0.445739587,0.011235396,0.618252447,0.631142649,gini,3,,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 3, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",7,0.600105932,0.65033298,0.608899652,0.624631101,0.645754503,0.618463867,0.030773447,0.003006036,0.019774769,0.013801215
105,0.513937314,0.006627003,0.618252447,0.631142649,entropy,3,,,"{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 3, 'scale': None}",7,0.600105932,0.65033298,0.608899652,0.624631101,0.645754503,0.618463867,0.066860388,0.002368651,0.019774769,0.013801215
106,0.549156984,0.014383316,0.618252447,0.631142649,entropy,3,,"StandardScaler(copy=True, with_mean=True, with_std=True)","{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 3, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",7,0.600105932,0.65033298,0.608899652,0.624631101,0.645754503,0.618463867,0.020247042,0.000904898,0.019774769,0.013801215
107,0.521170298,0.012225946,0.618252447,0.631142649,entropy,3,,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 3, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",7,0.600105932,0.65033298,0.608899652,0.624631101,0.645754503,0.618463867,0.009314205,0.001763013,0.019774769,0.013801215
144,0.627180735,0.007947683,0.616133589,0.635897351,entropy,5,"RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=20, step=1, verbose=0)",,"{'pca': RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=20, step=1, verbose=0), 'model__criterion': 'entropy', 'model__max_depth': 5, 'scale': None}",13,0.589512712,0.650484335,0.609051007,0.638933031,0.649841078,0.618274688,0.061027229,0.003909962,0.025133248,0.013323584
146,0.654542128,0.019050916,0.615477752,0.636464892,entropy,5,"RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=20, step=1, verbose=0)","RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=20, step=1, verbose=0), 'model__criterion': 'entropy', 'model__max_depth': 5, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",14,0.589285714,0.650635689,0.609656425,0.639462732,0.647495081,0.619296254,0.054585189,0.002580855,0.024118014,0.012968689
149,1.50266099,0.01129063,0.615200283,0.7169938,entropy,10,,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 10, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",15,0.607975182,0.719199334,0.60950507,0.715701854,0.628121689,0.716080212,0.0134633,0.00275735,0.009157792,0.001567179
145,0.705265999,0.018272638,0.615099385,0.637158559,entropy,5,"RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=20, step=1, verbose=0)","StandardScaler(copy=True, with_mean=True, with_std=True)","{'pca': RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=20, step=1, verbose=0), 'model__criterion': 'entropy', 'model__max_depth': 5, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",16,0.584367433,0.651089753,0.610942939,0.640408627,0.649992432,0.619977299,0.060705736,0.001932947,0.026952345,0.012907838
148,1.441045284,0.014929136,0.614443548,0.716892904,entropy,10,,"StandardScaler(copy=True, with_mean=True, with_std=True)","{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 10, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",17,0.609034504,0.719161495,0.610261843,0.715209989,0.624035114,0.716307227,0.029363541,0.001015983,0.00680049,0.001665506
147,1.471841733,0.0048546,0.613863384,0.716892905,entropy,10,,,"{'pca': None, 'model__criterion': 'entropy', 'model__max_depth': 10, 'scale': None}",18,0.608580508,0.719237173,0.609959134,0.715361332,0.623051309,0.716080212,0.031713865,0.000516263,0.006520933,0.001683427
65,1.212506374,0.0141143,0.611769751,0.730930344,gini,10,,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 10, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",19,0.601316586,0.733502346,0.609883457,0.730874007,0.624110792,0.72841468,0.027903451,0.003257864,0.009400908,0.002077413
63,1.061251322,0.005778313,0.611340934,0.730173625,gini,10,,,"{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 10, 'scale': None}",20,0.599273608,0.733350991,0.609883457,0.730003784,0.624867565,0.727166099,0.0434194,0.001328314,0.010499519,0.002527826
143,0.691481034,0.018726031,0.610861669,0.638949579,entropy,5,"RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=None, step=1, verbose=0)","RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=None, step=1, verbose=0), 'model__criterion': 'entropy', 'model__max_depth': 5, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",21,0.594279661,0.656046617,0.588466778,0.642489595,0.649841078,0.618312524,0.020245669,0.001928726,0.027663539,0.015606927
64,1.220715602,0.022071679,0.610130158,0.730615047,gini,10,,"StandardScaler(copy=True, with_mean=True, with_std=True)","{'pca': None, 'model__criterion': 'gini', 'model__max_depth': 10, 'scale': StandardScaler(copy=True, with_mean=True, with_std=True)}",22,0.599349274,0.733540185,0.609126684,0.730192963,0.62191615,0.728111994,0.030739856,0.001184124,0.009240287,0.002236058
141,0.721741358,0.005944331,0.609474321,0.637246839,entropy,5,"RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=None, step=1, verbose=0)",,"{'pca': RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=None, step=1, verbose=0), 'model__criterion': 'entropy', 'model__max_depth': 5, 'scale': None}",23,0.590118039,0.650938399,0.588466778,0.642489595,0.649841078,0.618312524,0.016176398,0.00043423,0.028550487,0.013825744
59,0.553364674,0.015840689,0.609322974,0.639365779,gini,5,"RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=None, step=1, verbose=0)","RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)","{'pca': RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=None, step=1, verbose=0), 'model__criterion': 'gini', 'model__max_depth': 5, 'scale': RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)}",24,0.592766344,0.656311488,0.587937036,0.642640938,0.647268049,0.619144911,0.02464425,0.002582421,0.026902546,0.015348911
57,0.552690744,0.017052015,0.607960852,0.638470264,gini,5,"RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=None, step=1, verbose=0)",,"{'pca': RFE(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=0,
            splitter='best'),
  n_features_to_select=None, step=1, verbose=0), 'model__criterion': 'gini', 'model__max_depth': 5, 'scale': None}",25,0.588680387,0.653624943,0.587937036,0.642640938,0.647268049,0.619144911,0.05856644,0.015937868,0.027794991,0.014382027
